,0,1,2
0,0.0,0.0,0.0
1,-3.6104290162973475e-06,-4.935172197200225e-05,-0.0004978514059851697
2,-1.4507301031630137e-05,-0.0001976533258945724,-0.0019913527412615648
3,-3.2483280794855446e-05,-0.0004455066229658345,-0.004480277452307895
4,-5.721259972895519e-05,-0.0007933270559491177,-0.007964509008738787
5,-8.875657648781696e-05,-0.0012410454170885335,-0.012444316505858756
6,-0.00012722955548834342,-0.001788304617964902,-0.017920172494921935
7,-0.0001723456411841205,-0.0024347652773411338,-0.024392533241093684
8,-0.00022393330580654935,-0.0031803893300494522,-0.03186135888216205
9,-0.0002831294634834848,-0.004025871677327339,-0.04032591377235445
10,-0.00035035931848543655,-0.004971299356823407,-0.04978558806837198
11,-0.00042434431808960685,-0.0060154414910287965,-0.06024063806942073
12,-0.0005050606982296243,-0.007158447219264379,-0.07169121880008449
13,-0.0005930447692799467,-0.008401253781435768,-0.08413693515512587
14,-0.0006880982492171615,-0.009743578825258723,-0.09757788159440113
15,-0.0007900334989057035,-0.011185361898702619,-0.11201424973848972
16,-0.0008985524084456424,-0.012727031148475725,-0.12744569177891463
17,-0.0010135562517344806,-0.014368502855982455,-0.14387202880936564
18,-0.001135211397479571,-0.016109366453769577,-0.1612936803194992
19,-0.001263294667053208,-0.017949323591729058,-0.17971115685363806
20,-0.001397654930031552,-0.01988836757522531,-0.19912456658395583
21,-0.001538656013516536,-0.02192666960562969,-0.21953370954354426
22,-0.0016864701502226746,-0.024064502372052102,-0.24093833857467833
23,-0.001841217160695886,-0.026302010281616207,-0.26333821455453243
24,-0.00200313976735403,-0.028639067136555188,-0.2867332763922151
25,-0.0021725022758643533,-0.031075343474801235,-0.3111237314788226
26,-0.0023495872603254203,-0.03361046212408014,-0.3365098347410148
27,-0.002534551083364366,-0.03624475400480629,-0.3628915339906108
28,-0.002727640826591161,-0.03897851792205947,-0.3902686188574196
29,-0.0029288859326175387,-0.04181111631961744,-0.4186416749815843
30,-0.003137753214698561,-0.04474260836870812,-0.4480113759973286
31,-0.003353891075883369,-0.04777382661313483,-0.47837737231046623
32,-0.0035773468667768104,-0.05090463826142116,-0.5097393284598748
33,-0.0038081722295160354,-0.05413440928612299,-0.5420972486018673
34,-0.004046432590447667,-0.05746320164120546,-0.5754507313384688
35,-0.004291587029506465,-0.060891409590535336,-0.6097991374297613
36,-0.004543056109637009,-0.06441918933313728,-0.6451414357784141
37,-0.004801189599425107,-0.06804707321293747,-0.6814761105910534
38,-0.005065675474508476,-0.07177554871842044,-0.7188026893818913
39,-0.005335257527443751,-0.07560413948400647,-0.7571218982433404
40,-0.005609665837767982,-0.07953232207397591,-0.7964346447263918
41,-0.0058896295152881485,-0.0835594154482429,-0.8367423803160485
42,-0.006175199775838912,-0.08768419431165174,-0.8780468352579597
43,-0.006465844617543853,-0.09190631704302357,-0.920348403608331
44,-0.006761533620844508,-0.09622671791588962,-0.9636461874282645
45,-0.007061479876255941,-0.10064640060571489,-1.0079396915477472
46,-0.007364129838858681,-0.10516571277718016,-1.0532287907311526
47,-0.007668816666121536,-0.1097843981048615,-1.0995130423884232
48,-0.007974910513384083,-0.11450222257753581,-1.1467916755163252
49,-0.008281196103161546,-0.11931959763513686,-1.195063635393808
50,-0.008586330570186167,-0.12423704003687991,-1.2443282319647009
51,-0.008888862702244742,-0.1292547740834042,-1.2945850439194935
52,-0.009187426502743014,-0.13437286324832529,-1.3458328786641947
53,-0.009480182722748469,-0.13959136368306427,-1.3980705595156628
54,-0.009764984012196104,-0.14491056778718076,-1.4512975224755218
55,-0.010040449368719232,-0.15033087748306315,-1.505513388438688
56,-0.01030569974909887,-0.1558525612909927,-1.5607182022045667
57,-0.010560804920376865,-0.1614756465962971,-1.6169109778279114
58,-0.010806650317767369,-0.16720027568484902,-1.674089225846585
59,-0.011043850369154434,-0.17302651806418276,-1.7322515920006711
60,-0.011272696151174315,-0.17895409436050502,-1.7913985693263297
61,-0.011493028592673349,-0.1849829215935661,-1.8515303878241747
62,-0.011705797153338584,-0.1911131358898875,-1.9126462567823639
63,-0.011912363493843002,-0.1973444395198002,-1.9747466211913391
64,-0.012111792620359895,-0.20367628436080865,-2.0378329756321905
65,-0.012303354185198267,-0.21010882533145278,-2.1019047972724745
66,-0.012488734635417845,-0.21664190255957505,-2.166961095601423
67,-0.012670092115049504,-0.2232744720425869,-2.2330029078682325
68,-0.012847752652660444,-0.23000641190897742,-2.300031035861211
69,-0.013020937844379478,-0.23683821511753025,-2.368044143734179
70,-0.013190396381820704,-0.24376946723001675,-2.4370409546742615
71,-0.013356424907224055,-0.2508002930878858,-2.5070209473870912
72,-0.013517027209402977,-0.2579324320148992,-2.5779827133260254
73,-0.013671484356480093,-0.2651664601804699,-2.6499251299924893
74,-0.013820878772556087,-0.2725009745458419,-2.722848865947996
75,-0.013964888143032185,-0.27993530926231447,-2.7967545209076357
76,-0.0141027609279981,-0.2874700378485255,-2.8716411688058185
77,-0.014235158946192138,-0.2951056016349097,-2.947507197192882
78,-0.014362455555076474,-0.30284230946542434,-3.0243520181316863
79,-0.014483142460438431,-0.31068081421639154,-3.1021761443464446
80,-0.014596069603756168,-0.31862149399504697,-3.1809786754485048
81,-0.014702668395124277,-0.32666356099003085,-3.260759045323675
82,-0.014803260355570029,-0.3348059366374602,-3.341519233374383
83,-0.014895883138747682,-0.34304875803984725,-3.423260852577554
84,-0.014979665421973353,-0.35139252223193773,-3.505983578856378
85,-0.015055837076205055,-0.35983719851467805,-3.5896864830696313
86,-0.01512537904888069,-0.36838300176059324,-3.674367997917618
87,-0.015186469755068427,-0.37703128998560076,-3.7600273612560273
88,-0.0152376061039474,-0.3857833878677257,-3.846666010990739
89,-0.015283240170894257,-0.3946379539286065,-3.9342860068228114
90,-0.01532915668896064,-0.4035924746315546,-4.022889850277814
91,-0.01537527489392568,-0.4126464107297744,-4.112478971182734
92,-0.015421261495775905,-0.4218003534167624,-4.203053110865774
93,-0.015469287391061811,-0.4310543485545189,-4.294612583972138
94,-0.015518886778777375,-0.4404082812439778,-4.387158784194614
95,-0.015568061935383149,-0.44986201735022074,-4.480693002629443
96,-0.015617363310098773,-0.459415174016921,-4.575215161817736
97,-0.015667398848512454,-0.4690673398805479,-4.670724017754532
98,-0.015717031569913092,-0.4788185914013758,-4.767219550276756
99,-0.015766122974408915,-0.48867010206232847,-4.864702496847929
100,-0.015815743442076254,-0.49862261265942676,-4.963173068675063
101,-0.01586587938878902,-0.5086762753658306,-5.062632210876266
102,-0.01591495035936729,-0.5188323575350592,-5.1630799553087865
103,-0.015963984873833395,-0.5290918838456043,-5.264515986139669
104,-0.01601672404373986,-0.5394523653437677,-5.366942158726066
105,-0.01607557032038346,-0.5499098536233904,-5.470360058574308
106,-0.016140881636549597,-0.5604646224058268,-5.574767724945806
107,-0.016212312356551094,-0.5711188557661259,-5.680162068812783
108,-0.01628992944664422,-0.5818728784945538,-5.78654152107372
109,-0.016373219242156956,-0.5927271800359477,-5.8939041870819855
110,-0.016460491708305075,-0.6036824753238043,-6.002249572376588
111,-0.016549363932639942,-0.6147380140242258,-6.11157966361331
112,-0.01663861539636485,-0.6258933045984826,-6.22189485516208
113,-0.016728226288205927,-0.6371497588871708,-6.33319466081082
114,-0.01681742978884254,-0.6485084883154456,-6.445480851091787
115,-0.0169054386662202,-0.6599693843548012,-6.558755935304914
116,-0.016989514739284114,-0.6715335186617769,-6.673021627603618
117,-0.01706697084983274,-0.6832012004822612,-6.788278101616339
