Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1525657255.52,-0.003761,0.021355000000000002,-0.049977999999999995,-0.041397,0.996445,0.018967,60.871323,65.137421,-353.200714
1525657255.54,-0.029323000000000002,0.027857,-0.047537,-0.041931,0.983093,0.030914,61.17137099999999,65.063889,-353.574402
1525657255.56,-0.037603,0.061992,-0.033598,-0.021484,0.996521,0.047729,61.16967800000001,64.688873,-353.572357
1525657255.58,-0.027951,0.082201,-0.033714999999999995,-0.020996,1.000076,0.040527,61.093887,64.612961,-353.122131
1525657255.6,-0.013141,0.057627,-0.039219,-0.032486,1.003433,0.034866,61.320084,64.913422,-352.973114
1525657255.62,-0.006862999999999999,0.044814,-0.046745999999999996,-0.025803,0.997421,0.024384,61.62085,65.064438,-353.048035
1525657255.64,-0.027170999999999997,0.035308,-0.047563,-0.030609,0.997314,0.020889,61.395584,64.988876,-353.123291
1525657255.66,-0.016387,0.039522,-0.03918,-0.024338,0.99826,0.03215,61.319977,64.83876,-353.197723
1525657255.68,-0.010004,0.037364,-0.040322000000000004,-0.015015,0.996979,0.039978,61.61874399999999,64.614304,-352.970581
1525657255.69,-0.014303,0.04591,-0.044527,-0.017151,0.990356,0.041199,61.77069100000001,65.064667,-352.897583
1525657255.71,-0.036735000000000004,0.0556,-0.048509,-0.027847000000000004,0.987488,0.037308,61.770386,65.06420899999999,-352.597595
1525657255.73,-0.041789,0.084391,-0.031417,-0.027084,1.005615,0.039459,61.996292,65.215225,-352.8227540000001
1525657255.75,-0.026717,0.086453,-0.020958,-0.017563,1.00766,0.031174,61.396179,65.138763,-353.049103
1525657255.77,-0.030787000000000002,0.071541,-0.00175,-0.007706,1.003586,0.023407,61.393814,64.613754,-353.046234
1525657255.79,-0.057624,0.036486000000000005,-0.007809,-0.005234,0.987152,0.02594,61.693588,64.614319,-352.820374
1525657255.81,-0.07166499999999999,-0.000755,-0.014024000000000002,-0.004196,0.979507,0.034789999999999995,61.84599300000001,65.214325,-352.523193
1525657255.83,-0.082385,0.02061,-0.022408,-0.016846,0.98381,0.045853,61.995316,65.064774,-352.521912
