1525657255.497002	1525657255.497002	0.008162	-0.003219	0.029902
1525657255.508063	1525657255.508063	0.001664	0.005340	0.039401
1525657255.516154	1525657255.516154	-0.003761	0.021355	0.049978
1525657255.526168	1525657255.526168	-0.015509	0.021405	0.050899
1525657255.536204	1525657255.536204	-0.029323	0.027857	0.047537
1525657255.546697	1525657255.546697	-0.037763	0.050273	0.044240
1525657255.556165	1525657255.556165	-0.037603	0.061992	0.033598
1525657255.566052	1525657255.566052	-0.034313	0.076897	0.029380
1525657255.576068	1525657255.576068	-0.027951	0.082201	0.033715
1525657255.586093	1525657255.586093	-0.023783	0.068330	0.039088
1525657255.595893	1525657255.595893	-0.013141	0.057627	0.039219
1525657255.606042	1525657255.606042	-0.006798	0.055470	0.043554
1525657255.616118	1525657255.616118	-0.006863	0.044814	0.046746
1525657255.625942	1525657255.625942	-0.018649	0.035273	0.048731
1525657255.638084	1525657255.638084	-0.027171	0.035308	0.047563
1525657255.645892	1525657255.645892	-0.019606	0.037405	0.040205
1525657255.656078	1525657255.656078	-0.016387	0.039522	0.039180
1525657255.665804	1525657255.665804	-0.011084	0.037369	0.041373
1525657255.675640	1525657255.675640	-0.010004	0.037364	0.040322
1525657255.687664	1525657255.687664	-0.014303	0.045910	0.044527
1525657255.695605	1525657255.695605	-0.027228	0.049168	0.055012
1525657255.705599	1525657255.705599	-0.036735	0.055600	0.048509
1525657255.715630	1525657255.715630	-0.047255	0.063100	0.037737
1525657255.726152	1525657255.726152	-0.041789	0.084391	0.031417
1525657255.735828	1525657255.735828	-0.033102	0.087546	0.019815
1525657255.745569	1525657255.745569	-0.026717	0.086453	0.020958
1525657255.755539	1525657255.755539	-0.025585	0.081117	0.014586
1525657255.765544	1525657255.765544	-0.030787	0.071541	0.001750
1525657255.775486	1525657255.775486	-0.040402	0.055593	-0.000496
1525657255.785926	1525657255.785926	-0.057624	0.036486	0.007809
1525657255.795599	1525657255.795599	-0.068393	0.017349	0.011935
1525657255.805608	1525657255.805608	-0.071665	-0.000755	0.014024
1525657255.815950	1525657255.815950	-0.077122	-0.002859	0.023537
1525657255.825837	1525657255.825837	-0.082385	0.020610	0.022408
1525657255.836082	1525657255.836082	-0.085448	0.054727	0.018112
1525657255.845806	1525657255.845806	-0.081167	0.070697	0.020292
1525657255.857090	1525657255.857090	-0.075845	0.081334	0.023550
1525657255.865725	1525657255.865725	-0.066112	0.091947	0.015154
1525657255.875673	1525657255.875673	-0.055356	0.111085	0.012092
1525657255.885831	1525657255.885831	-0.047935	0.129175	0.019633
1525657255.895795	1525657255.895795	-0.038329	0.146189	0.022943
1525657255.905703	1525657255.905703	-0.034078	0.145106	0.024059
1525657255.915672	1525657255.915672	-0.039455	0.122746	0.022930
1525657255.925620	1525657255.925620	-0.054279	0.115343	0.012105
1525657255.937926	1525657255.937926	-0.061443	0.143076	-0.007142
1525657255.949012	1525657255.949012	-0.057918	0.204872	-0.020938
1525657255.955596	1525657255.955596	-0.053300	0.277321	-0.034720
1525657255.965630	1525657255.965630	-0.046635	0.325249	-0.046348
1525657255.975664	1525657255.975664	-0.047807	0.325258	-0.037847
1525657255.988296	1525657255.988296	-0.055609	0.275205	-0.020911
1525657256.000593	1525657256.000593	-0.054945	0.202736	-0.002807
1525657256.005442	1525657256.005442	-0.054233	0.154780	0.016362
1525657256.015406	1525657256.015406	-0.053327	0.121739	0.022760
1525657256.026619	1525657256.026619	-0.079876	0.118649	0.011792
1525657256.040215	1525657256.040215	-0.130692	0.140169	-0.016504
1525657256.045362	1525657256.045362	-0.175028	0.204294	-0.042593
1525657256.055340	1525657256.055340	-0.193847	0.274710	-0.059855
1525657256.065563	1525657256.065563	-0.181751	0.319413	-0.079931
1525657256.077724	1525657256.077724	-0.155681	0.349131	-0.111544
1525657256.091495	1525657256.091495	-0.120101	0.352164	-0.140911
1525657256.095246	1525657256.095246	-0.039885	0.312378	-0.164409
1525657256.105277	1525657256.105277	0.069381	0.204280	-0.134331
1525657256.115264	1525657256.115264	-0.007846	0.138537	-0.115051
1525657256.125314	1525657256.125314	-0.175142	0.157360	-0.129870
1525657256.135157	1525657256.135157	-0.290527	0.154658	-0.118509
1525657256.145129	1525657256.145129	-0.323864	0.148413	-0.098694
1525657256.154990	1525657256.154990	-0.299617	0.131267	-0.078174
1525657256.165189	1525657256.165189	-0.275313	0.105590	-0.064039
1525657256.175068	1525657256.175068	-0.258808	0.083157	-0.022327
1525657256.185135	1525657256.185135	-0.253238	0.053318	0.039475
1525657256.195032	1525657256.195032	-0.249425	0.049055	0.075710
1525657256.205011	1525657256.205011	-0.219124	0.105404	0.052663
1525657256.214927	1525657256.214927	-0.213783	0.133056	-0.029228
1525657256.224969	1525657256.224969	-0.221973	0.175675	-0.135765
1525657256.234952	1525657256.234952	-0.244868	0.160828	-0.186070
1525657256.244921	1525657256.244921	-0.248468	0.116090	-0.162697
1525657256.254901	1525657256.254901	-0.247090	0.022312	-0.120102
1525657256.264824	1525657256.264824	-0.263455	-0.070339	-0.109656
1525657256.275565	1525657256.275565	-0.289967	-0.116066	-0.132331
1525657256.285624	1525657256.285624	-0.322592	-0.140460	-0.174239
1525657256.294825	1525657256.294825	-0.353183	-0.168056	-0.208672
1525657256.305322	1525657256.305322	-0.385125	-0.194571	-0.219705
1525657256.314750	1525657256.314750	-0.405508	-0.203007	-0.212504
1525657256.325174	1525657256.325174	-0.424804	-0.218911	-0.208482
1525657256.334738	1525657256.334738	-0.422580	-0.245571	-0.221226
1525657256.345104	1525657256.345104	-0.387081	-0.248930	-0.245272
