,Time,TimeRedundant,X,Y,Z
0,1524374951.789945,1524374951.789945,186.035049,-73.50709499999999,-67.335358
1,1524374951.810299,1524374951.810299,186.186249,-73.207321,-67.486862
2,1524374951.810353,1524374951.810353,186.11004599999998,-73.507324,-67.336105
3,1524374951.830816,1524374951.830816,186.261414,-73.207321,-67.63760400000001
4,1524374951.830913,1524374951.830913,186.260727,-73.35754399999999,-67.487595
5,1524374951.851637,1524374951.851637,186.259995,-73.507889,-67.26260400000001
6,1524374951.851721,1524374951.851721,186.41056799999998,-73.358215,-67.339111
7,1524374951.871862,1524374951.871862,186.40953100000002,-73.658218,-67.339096
8,1524374951.87195,1524374951.87195,186.410049,-73.508224,-67.339096
9,1524374951.8923051,1524374951.8923051,186.260788,-73.282898,-67.26260400000001
10,1524374951.892387,1524374951.892387,186.110275,-73.506989,-67.56109599999999
11,1524374951.912722,1524374951.912722,186.186096,-73.20755,-67.33686800000001
12,1524374951.912803,1524374951.912803,186.261002,-73.282547,-67.48761
13,1524374951.933204,1524374951.933204,186.335922,-73.282883,-67.413361
14,1524374951.933284,1524374951.933284,186.185425,-73.506989,-67.711853
15,1524374951.953984,1524374951.953984,186.261154,-73.282333,-67.63760400000001
16,1524374951.954074,1524374951.954074,186.260391,-73.432663,-67.412598
17,1524374951.974166,1524374951.974166,186.486099,-73.20845,-67.33985899999999
18,1524374951.974252,1524374951.974252,186.18696599999998,-72.982437,-67.411865
19,1524374951.994536,1524374951.994536,186.11132800000001,-73.206985,-67.561111
20,1524374951.994618,1524374951.994618,185.96078500000002,-73.281998,-67.259598
21,1524374952.0150518,1524374952.0150518,186.260559,-73.283234,-67.03761300000001
22,1524374952.015131,1524374952.015131,185.885483,-73.580627,-68.00885
23,1524374952.035531,1524374952.035531,186.18635600000002,-73.132553,-67.33686800000001
24,1524374952.035613,1524374952.035613,185.960709,-73.282104,-67.184601
25,1524374952.055905,1524374952.055905,185.885788,-73.281769,-67.25885
26,1524374952.055995,1524374952.055995,185.88678000000002,-73.056427,-67.483856
27,1524374952.076365,1524374952.076365,186.110535,-73.43199200000001,-67.56109599999999
28,1524374952.0764449,1524374952.0764449,186.11158799999998,-73.131989,-67.561111
29,1524374952.09699,1524374952.09699,186.03543100000002,-73.50653100000001,-67.710358
30,1524374952.09708,1524374952.09708,186.036179,-73.206985,-67.41035500000001
31,1524374952.117419,1524374952.117419,185.960846,-73.281876,-67.33461
32,1524374952.117467,1524374952.117467,186.185272,-73.507217,-67.561844
33,1524374952.138133,1524374952.138133,185.960846,-73.281876,-67.33461
34,1524374952.13817,1524374952.13817,186.037354,-72.98143,-67.78537
35,1524374952.158122,1524374952.158122,185.960846,-73.281876,-67.33461
36,1524374952.158198,1524374952.158198,185.887238,-72.90654,-67.408875
37,1524374952.178567,1524374952.178567,186.035629,-73.28244000000001,-67.110352
38,1524374952.178644,1524374952.178644,186.035843,-73.282104,-67.335358
39,1524374952.19915,1524374952.19915,186.11184699999998,-73.05699200000001,-67.561111
40,1524374952.199323,1524374952.199323,185.811325,-73.206085,-67.558105
41,1524374952.2194688,1524374952.2194688,186.11099199999998,-73.282104,-67.486099
42,1524374952.219556,1524374952.219556,186.261673,-73.132324,-67.63760400000001
43,1524374952.24059,1524374952.24059,185.81135600000002,-73.131424,-67.333115
44,1524374952.2406259,1524374952.2406259,185.885803,-73.356323,-67.558853
45,1524374952.260349,1524374952.260349,186.185684,-73.43199200000001,-67.711853
46,1524374952.2604241,1524374952.2604241,185.886078,-73.281326,-67.558853
47,1524374952.281477,1524374952.281477,185.88536100000002,-73.50621,-67.63385
48,1524374952.28165,1524374952.28165,186.036179,-73.206985,-67.41035500000001
49,1524374952.301311,1524374952.301311,185.886078,-73.281326,-67.558853
50,1524374952.3013868,1524374952.3013868,185.73558,-73.50541700000001,-67.85734599999999
51,1524374952.3217962,1524374952.3217962,185.73632800000001,-73.205872,-67.557358
52,1524374952.321871,1524374952.321871,185.81063799999998,-73.356308,-67.408096
53,1524374952.342284,1524374952.342284,185.735275,-73.505875,-67.557343
54,1524374952.342361,1524374952.342361,185.884796,-73.58165,-67.33384699999999
55,1524374952.362693,1524374952.362693,185.886856,-73.05632,-67.558868
56,1524374952.3627698,1524374952.3627698,185.812073,-73.055756,-67.78312700000001
57,1524374952.383039,1524374952.383039,185.661591,-73.130646,-67.55660999999999
58,1524374952.383114,1524374952.383114,185.96061699999998,-73.431427,-67.634598
59,1524374952.403873,1524374952.403873,185.736099,-73.20620699999999,-67.332367
60,1524374952.403947,1524374952.403947,185.81101999999998,-73.35575899999999,-67.783112
61,1524374952.42401,1524374952.42401,186.036774,-73.05686999999999,-67.48536700000001
62,1524374952.4240859,1524374952.4240859,186.036835,-72.982208,-67.260361
63,1524374952.4443688,1524374952.4443688,186.036407,-73.20665,-67.635361
64,1524374952.444446,1524374952.444446,185.73635900000002,-73.13121,-67.332367
65,1524374952.4647949,1524374952.4647949,185.811584,-73.131088,-67.558105
66,1524374952.4648712,1524374952.4648712,185.811584,-73.131088,-67.558105
67,1524374952.485287,1524374952.485287,185.81106599999998,-73.281097,-67.558105
68,1524374952.4853768,1524374952.4853768,185.88630700000002,-73.280991,-67.78385899999999
69,1524374952.505682,1524374952.505682,185.736221,-73.28064,-67.707352
70,1524374952.505758,1524374952.505758,185.660919,-73.280869,-67.406601
71,1524374952.5265849,1524374952.5265849,185.810272,-73.506088,-67.558105
72,1524374952.526661,1524374952.526661,185.66133100000002,-73.20564300000001,-67.55660999999999
73,1524374952.546992,1524374952.546992,185.96051,-73.50621,-67.784607
