,Time,TimeRedundant,X,Y,Z
0,1524371449.3505518,1524371449.3505518,0.013125999999999999,-0.028582999999999997,-2.9999999999999997e-05
1,1524371449.355699,1524371449.355699,0.013137000000000001,-0.028584,-0.001099
2,1524371449.36575,1524371449.36575,0.013115,-0.02752,-2.5e-05
3,1524371449.37573,1524371449.37573,0.012045,-0.028592000000000003,0.001032
4,1524371449.385706,1524371449.385706,0.012046,-0.027530000000000002,-3.3e-05
5,1524371449.395682,1524371449.395682,0.013125999999999999,-0.028582999999999997,-2.9999999999999997e-05
6,1524371449.4056401,1524371449.4056401,0.013125999999999999,-0.027520999999999997,-0.0010949999999999998
7,1524371449.4159539,1524371449.4159539,0.013137000000000001,-0.028584,-0.001099
8,1524371449.42627,1524371449.42627,0.012046,-0.027530000000000002,-3.3e-05
9,1524371449.43565,1524371449.43565,0.013125999999999999,-0.027520999999999997,-0.0010949999999999998
10,1524371449.4461448,1524371449.4461448,0.013125999999999999,-0.027520999999999997,-0.0010949999999999998
11,1524371449.4579759,1524371449.4579759,0.012057,-0.028593,-3.7e-05
12,1524371449.465888,1524371449.465888,0.012024,-0.026466000000000003,0.001041
13,1524371449.475828,1524371449.475828,0.013125999999999999,-0.028582999999999997,-2.9999999999999997e-05
14,1524371449.490027,1524371449.490027,0.012034999999999999,-0.026467,-2.8000000000000003e-05
15,1524371449.495816,1524371449.495816,0.010976,-0.02754,-4e-05
16,1524371449.505766,1524371449.505766,0.012068,-0.029656000000000002,-4.2e-05
17,1524371449.515816,1524371449.515816,0.013202,-0.036025,-6.1e-05
18,1524371449.5277991,1524371449.5277991,0.013147999999999998,-0.030708999999999997,-3.9e-05
19,1524371449.5355392,1524371449.5355392,0.013147999999999998,-0.029647000000000003,-0.001104
20,1524371449.5457962,1524371449.5457962,0.012057,-0.028593,-3.7e-05
21,1524371449.555633,1524371449.555633,0.013104,-0.026456999999999998,-2.1e-05
22,1524371449.565742,1524371449.565742,0.010976,-0.02754,-4e-05
23,1524371449.5756528,1524371449.5756528,0.010954,-0.026476,0.001034
24,1524371449.585565,1524371449.585565,0.010965,-0.027538999999999998,0.001029
25,1524371449.59566,1524371449.59566,0.013115,-0.02752,-2.5e-05
26,1524371449.605625,1524371449.605625,0.012046,-0.027530000000000002,-3.3e-05
27,1524371449.617441,1524371449.617441,0.013115,-0.02752,-2.5e-05
28,1524371449.6255631,1524371449.6255631,0.013115,-0.02752,-2.5e-05
29,1524371449.635387,1524371449.635387,0.012057,-0.028593,-3.7e-05
30,1524371449.64952,1524371449.64952,0.013137000000000001,-0.028584,-0.001099
31,1524371449.655513,1524371449.655513,0.013125999999999999,-0.028582999999999997,-2.9999999999999997e-05
32,1524371449.665525,1524371449.665525,0.012046,-0.027530000000000002,-3.3e-05
33,1524371449.6755009,1524371449.6755009,0.009885,-0.025424000000000002,-3.9e-05
34,1524371449.685497,1524371449.685497,0.009885,-0.025424000000000002,-3.9e-05
35,1524371449.695412,1524371449.695412,0.009885,-0.025424000000000002,-3.9e-05
36,1524371449.70545,1524371449.70545,0.009897,-0.025425,-0.001109
37,1524371449.715344,1524371449.715344,0.010955,-0.025414,-3.1e-05
38,1524371449.725382,1524371449.725382,0.012034999999999999,-0.026467,-2.8000000000000003e-05
39,1524371449.735354,1524371449.735354,0.012046,-0.027530000000000002,-3.3e-05
40,1524371449.745457,1524371449.745457,0.012046,-0.027530000000000002,-3.3e-05
41,1524371449.755343,1524371449.755343,0.012046,-0.027530000000000002,-3.3e-05
42,1524371449.765326,1524371449.765326,0.009897,-0.025425,-0.001109
43,1524371449.778263,1524371449.778263,0.009886,-0.024362,-0.001104
44,1524371449.785371,1524371449.785371,0.008794,-0.023308000000000002,-3.8e-05
45,1524371449.795286,1524371449.795286,0.007714,-0.022255,-4.1e-05
46,1524371449.809014,1524371449.809014,0.007714,-0.022255,-4.1e-05
47,1524371449.815227,1524371449.815227,0.009885,-0.025424000000000002,-3.9e-05
48,1524371449.825343,1524371449.825343,0.010955,-0.025414,-3.1e-05
49,1524371449.835383,1524371449.835383,0.010966,-0.026476999999999997,-3.6e-05
50,1524371449.845536,1524371449.845536,0.013125999999999999,-0.028582999999999997,-2.9999999999999997e-05
51,1524371449.855319,1524371449.855319,0.014195,-0.029635,0.0010429999999999999
52,1524371449.8653278,1524371449.8653278,0.013115,-0.028582,0.0010400000000000001
