Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1525628534.82,-0.009674,0.018164,0.00946,-0.084152,0.992249,0.051559,43.325058,55.66680899999999,-324.551239
1525628534.84,-0.006492,0.016019,0.010564,-0.07833899999999999,0.986572,0.042694,43.55328400000001,56.417267,-324.404694
1525628534.86,-0.006599,0.020287,0.020141,-0.082962,0.98204,0.046127,43.402084,56.117035,-324.553467
1525628534.88,-0.005502,0.047995,0.023347,-0.091675,1.001251,0.053558,43.325806,55.81691,-324.627075
1525628534.9,-0.01185,0.058679,0.02114,-0.086243,0.9888,0.044891,43.326584,56.04158,-324.40329
1525628534.92,-0.003269,0.040521,0.013794999999999998,-0.07728600000000001,0.994965,0.040268,43.32748400000001,56.191925,-324.62912
1525628534.93,0.003053,0.029838,0.018131,-0.074585,0.988022,0.038284,43.402496,56.192154,-324.6289060000001
1525628534.95,0.006876999999999999,0.029838,0.054366,-0.096375,0.982162,0.048904,43.401138,55.892136,-324.627258
1525628534.97,-0.000466,0.08529099999999999,0.055338,-0.103241,0.990311,0.068619,43.326813,56.041916,-324.628296
1525628534.99,0.001887,0.078878,0.036209,-0.070221,1.018692,0.06405599999999999,43.32547,55.741913,-324.626648
1525628535.01,0.01147,0.008487999999999999,0.023556,-0.048004000000000005,0.989456,0.040848,42.95163,55.96603399999999,-324.778992
1525628535.03,0.03611,-0.039586,0.005765,-0.062988,0.988098,0.042953,43.252426,56.191589,-324.554321
1525628535.05,0.032928,-0.021453,0.007854,-0.083069,0.993988,0.042053,43.328583,56.417038,-324.705383
1525628535.07,0.029672000000000007,0.019068,0.020585,-0.098633,0.995865,0.045959,43.326965,56.042145,-324.77829
1525628535.09,0.026316000000000003,0.040406,0.037573,-0.097748,0.989197,0.049271,43.476486,55.967377,-324.6274410000001
1525628535.11,0.028443,0.011618,0.032277999999999994,-0.0737,0.993912,0.043488,43.252563,56.19181800000001,-324.704346
1525628535.13,0.02874,0.00521,0.006737999999999999,-0.06279,1.002304,0.04187,43.027298,56.116257,-324.779602
1525628535.15,0.026672,-0.000113,0.000326,-0.068268,1.002426,0.033676,43.253662,56.41693100000001,-324.780579
1525628535.17,0.025449,0.015886,0.016276,-0.08165,0.987274,0.037735000000000005,43.478546,56.342941,-325.004486
1525628535.19,0.023387,0.044672,0.01625,-0.084625,0.981323,0.042038,43.327118,56.042374,-324.928284
1525628535.21,0.026585,0.038263,0.015225,-0.08142100000000001,0.993622,0.042404,43.32753,56.117493,-325.003723
1525628535.23,0.01804,0.044695,0.017249,-0.078644,0.996246,0.043594,43.178391,56.341812,-324.855408
1525628535.28,-0.02475,0.035288,0.024176,-0.071335,0.986832,0.036377,43.477646,56.192596,-324.778656
1525628535.31,-0.22710100000000005,0.25571,0.03766,-0.082642,0.981079,0.014481,43.551712,55.967941,-324.852234
1525628535.33,-0.242298,0.306909,-0.017874,-0.03476,1.019043,0.050095,43.324722,55.591797,-324.550812
1525628535.35,-0.230537,0.23331,-0.034758,-0.051315,1.0180209999999998,0.042953,43.175568,55.816132,-324.402496
1525628535.37,-0.222049,0.125619,-0.052745000000000014,-0.091934,1.041046,0.011353,43.177643,56.340698,-324.105408
