,Unnamed: 0,Time,TimeRedundant,X,Y,Z
0,0,1525628534.814609,1525628534.814609,-0.007593000000000002,0.007498,-0.011615
1,1,1525628534.824652,1525628534.824652,-0.009674,0.018164,-0.00946
2,2,1525628534.834394,1525628534.834394,-0.00645,0.011754,-0.006307
3,3,1525628534.8445618,1525628534.8445618,-0.006492,0.016019,-0.010564
4,4,1525628534.857,1525628534.857,-0.006599,0.020287,-0.020141
5,5,1525628534.864506,1525628534.864506,-0.006611,0.030947,-0.023334
6,6,1525628534.874512,1525628534.874512,-0.004456,0.039464,-0.02336
7,7,1525628534.884439,1525628534.884439,-0.005502,0.047995,-0.023347
8,8,1525628534.895618,1525628534.895618,-0.01185,0.058679,-0.02114
9,9,1525628534.9044788,1525628534.9044788,-0.010759,0.062937,-0.020089
10,10,1525628534.914397,1525628534.914397,-0.008579,0.050136,-0.01373
11,11,1525628534.924449,1525628534.924449,-0.003269,0.040521,-0.013794999999999998
12,12,1525628534.934506,1525628534.934506,0.003053,0.029838,-0.018131
13,13,1525628534.9443474,1525628534.9443474,0.008168,0.020231,-0.034158999999999995
14,14,1525628534.954566,1525628534.954566,0.006876999999999999,0.029838,-0.054366
15,15,1525628534.964298,1525628534.964298,0.002577,0.058637,-0.062827
16,16,1525628534.974294,1525628534.974294,-0.000466,0.08529099999999999,-0.055338
17,17,1525628534.9896526,1525628534.9896526,0.001887,0.078878,-0.036209
18,18,1525628534.993931,1525628534.993931,0.009508,0.061786,-0.020337
19,19,1525628535.004321,1525628535.004321,0.012655,0.035127,-0.019312
20,20,1525628535.014175,1525628535.014175,0.01147,0.008487999999999999,-0.023556
21,21,1525628535.0242429,1525628535.0242429,0.025363,-0.023549,-0.015212
22,22,1525628535.034125,1525628535.034125,0.03611,-0.039586,-0.005765
23,23,1525628535.044107,1525628535.044107,0.038272,-0.03853,-0.003662
24,24,1525628535.0541599,1525628535.0541599,0.032928,-0.021453,-0.007854
25,25,1525628535.064091,1525628535.064091,0.027582,0.005218,-0.014174
26,26,1525628535.074087,1525628535.074087,0.029672000000000007,0.019068,-0.020585
27,27,1525628535.084022,1525628535.084022,0.030635000000000006,0.029726,-0.03124
28,28,1525628535.094006,1525628535.094006,0.026316000000000003,0.040406,-0.037573
29,29,1525628535.1043036,1525628535.1043036,0.026323000000000003,0.032944,-0.035445
30,30,1525628535.114208,1525628535.114208,0.028443,0.011618,-0.032277999999999994
31,31,1525628535.123958,1525628535.123958,0.03175,0.007336,-0.02274
32,32,1525628535.134243,1525628535.134243,0.02874,0.00521,-0.006737999999999999
33,33,1525628535.144224,1525628535.144224,0.027762,0.004145,0.000725
34,34,1525628535.154662,1525628535.154662,0.026672,-0.000113,-0.000326
35,35,1525628535.164365,1525628535.164365,0.027634,0.005215999999999999,-0.009917
36,36,1525628535.174163,1525628535.174163,0.025449,0.015886,-0.016276
37,37,1525628535.18418,1525628535.18418,0.020149,0.035094,-0.017275
38,38,1525628535.194151,1525628535.194151,0.023387,0.044672,-0.01625
39,39,1525628535.2057712,1525628535.2057712,0.026585,0.038263,-0.015225
40,40,1525628535.2141461,1525628535.2141461,0.024415,0.039339,-0.018392
41,41,1525628535.22409,1525628535.22409,0.023332,0.048938,-0.021571
42,42,1525628535.234058,1525628535.234058,0.01804,0.044695,-0.017249
43,43,1525628535.244741,1525628535.244741,0.012786,0.035121,-0.00867
44,44,1525628535.259919,1525628535.259919,0.004316,0.035155,-0.0032450000000000005
45,45,1525628535.264018,1525628535.264018,-0.003199,0.031991000000000006,-0.006346
46,46,1525628535.275275,1525628535.275275,-0.02475,0.035288,-0.024176
47,47,1525628535.283648,1525628535.283648,-0.076241,0.089878,-0.057604
48,48,1525628535.29652,1525628535.29652,-0.139214,0.167957,-0.07492599999999999
49,49,1525628535.303909,1525628535.303909,-0.193362,0.225736,-0.064683
50,50,1525628535.3137882,1525628535.3137882,-0.22710100000000005,0.25571,-0.03766
51,51,1525628535.323853,1525628535.323853,-0.243686,0.293069,-0.005525
52,52,1525628535.334738,1525628535.334738,-0.242298,0.306909,0.017874
53,53,1525628535.343843,1525628535.343843,-0.233696,0.275958,0.029476
54,54,1525628535.353819,1525628535.353819,-0.230537,0.23331,0.034758
55,55,1525628535.363816,1525628535.363816,-0.234872,0.143795,0.04758
56,56,1525628535.3738039,1525628535.3738039,-0.222049,0.125619,0.052745000000000014
57,57,1525628535.3838801,1525628535.3838801,-0.206168,0.144743,0.038714
58,58,1525628535.393676,1525628535.393676,-0.141488,0.110374,0.012378
59,59,1525628535.4037108,1525628535.4037108,0.032236,-0.038518,0.026213
60,60,1525628535.413433,1525628535.413433,0.094994,-0.129379,0.028636
61,61,1525628535.423642,1525628535.423642,0.027731,-0.044885,0.008173999999999999
62,62,1525628535.4336472,1525628535.4336472,-0.056503,0.089774,-0.014207
63,63,1525628535.4436018,1525628535.4436018,-0.08102899999999999,0.120789,-0.019228
64,64,1525628535.4535599,1525628535.4535599,-0.044538,0.071595,0.007997
65,65,1525628535.463827,1525628535.463827,0.013572999999999998,0.005244,0.061567
66,66,1525628535.473364,1525628535.473364,0.024694,-0.022534,0.104004
67,67,1525628535.483483,1525628535.483483,0.001583,-0.019251,0.133025
68,68,1525628535.493459,1525628535.493459,-0.032208999999999995,-0.010593,0.160047
69,69,1525628535.503417,1525628535.503417,-0.054208000000000006,0.000145,0.191183
70,70,1525628535.513416,1525628535.513416,-0.065606,0.020433,0.214739
71,71,1525628535.5234,1525628535.5234,-0.09526,0.050396,0.226811
72,72,1525628535.533351,1525628535.533351,-0.147306,0.100706,0.235964
73,73,1525628535.543825,1525628535.543825,-0.203469,0.143567,0.259004
74,74,1525628535.579709,1525628535.579709,-0.241299,0.150102,0.305234
75,75,1525628535.579784,1525628535.579784,-0.25137,0.102157,0.363895
76,76,1525628535.579983,1525628535.579983,-0.253987,0.027533,0.4267220000000001
77,77,1525628535.583273,1525628535.583273,-0.241808,-0.014105,0.471275
78,78,1525628535.593351,1525628535.593351,-0.211801,-0.033424,0.485809
79,79,1525628535.602918,1525628535.602918,-0.18635,-0.03779,0.473789
80,80,1525628535.61294,1525628535.61294,-0.174901,-0.021839,0.447041
81,81,1525628535.623059,1525628535.623059,-0.178421,0.017626,0.413025
82,82,1525628535.633255,1525628535.633255,-0.191564,0.084846,0.371678
83,83,1525628535.643315,1525628535.643315,-0.203709,0.13501,0.32819
84,84,1525628535.6531632,1525628535.6531632,-0.216897,0.153201,0.29322800000000004
85,85,1525628535.663174,1525628535.663174,-0.216073,0.150008,0.274059
86,86,1525628535.673139,1525628535.673139,-0.191638,0.129656,0.269502
87,87,1525628535.6831,1525628535.6831,-0.149104,0.083647,0.266852
88,88,1525628535.6931038,1525628535.6931038,-0.107619,0.034444,0.266343
89,89,1525628535.703213,1525628535.703213,-0.081108,0.006624,0.258567
90,90,1525628535.713077,1525628535.713077,-0.080039,-0.002974,0.260682
91,91,1525628535.723044,1525628535.723044,-0.091663,-0.01039,0.271468
92,92,1525628535.733026,1525628535.733026,-0.099981,-0.012495,0.289664
93,93,1525628535.743003,1525628535.743003,-0.098633,-0.014643000000000003,0.31306300000000004
94,94,1525628535.753065,1525628535.753065,-0.080345,-0.027517000000000003,0.32774000000000003
95,95,1525628535.76284,1525628535.76284,-0.064212,-0.032919,0.339251
96,96,1525628535.772942,1525628535.772942,-0.047179,-0.037254,0.336913
97,97,1525628535.782924,1525628535.782924,-0.026036,-0.068248,0.327075
98,98,1525628535.792933,1525628535.792933,-0.001798,-0.10458,0.309747
99,99,1525628535.8027961,1525628535.8027961,0.028821,-0.133478,0.289149
100,100,1525628535.812865,1525628535.812865,0.071246,-0.124056,0.266279
101,101,1525628535.822834,1525628535.822834,0.108395,-0.075175,0.240281
102,102,1525628535.8329802,1525628535.8329802,0.128405,-0.023021,0.208107
103,103,1525628535.842799,1525628535.842799,0.121605,-0.010187,0.173067
104,104,1525628535.852803,1525628535.852803,0.090297,-0.016436000000000003,0.14471199999999998
105,105,1525628535.862758,1525628535.862758,0.06869,-0.04085,0.127946
106,106,1525628535.87273,1525628535.87273,0.089894,-0.09956,0.128749
107,107,1525628535.882714,1525628535.882714,0.13785999999999998,-0.179705,0.140932
108,108,1525628535.892692,1525628535.892692,0.166793,-0.23312800000000006,0.161864
109,109,1525628535.90275,1525628535.90275,0.152291,-0.210698,0.192908
110,110,1525628535.912647,1525628535.912647,0.128155,-0.154117,0.214493
111,111,1525628535.922506,1525628535.922506,0.121741,-0.112519,0.204993
112,112,1525628535.932561,1525628535.932561,0.12451199999999997,-0.080538,0.16345
113,113,1525628535.942462,1525628535.942462,0.121731,-0.031471,0.100689
114,114,1525628535.9525974,1525628535.9525974,0.108331,0.016574000000000002,0.042314
115,115,1525628535.962548,1525628535.962548,0.06856799999999999,0.083905,0.00555
116,116,1525628535.972526,1525628535.972526,0.013151,0.128906,0.001972
117,117,1525628535.982507,1525628535.982507,-0.019643,0.131167,0.024725
118,118,1525628535.992484,1525628535.992484,-0.013904,0.078898,0.06829099999999999
119,119,1525628536.0024571,1525628536.0024571,0.0058,0.01271,0.122331
120,120,1525628536.012321,1525628536.012321,0.019057,-0.040658,0.17006300000000002
121,121,1525628536.022418,1525628536.022418,-0.007212,-0.061879,0.207636
122,122,1525628536.032387,1525628536.032387,-0.042064,-0.029767,0.230415
123,123,1525628536.042378,1525628536.042378,-0.030244,0.0352,0.223886
124,124,1525628536.052438,1525628536.052438,-0.026343,0.082096,0.184459
125,125,1525628536.062337,1525628536.062337,-0.054752,0.132339,0.119882
126,126,1525628536.07232,1525628536.07232,-0.08619299999999999,0.224159,0.060665
127,127,1525628536.082208,1525628536.082208,-0.078415,0.27105300000000004,-0.010741
128,128,1525628536.0922801,1525628536.0922801,-0.048834,0.145201,-0.096255
129,129,1525628536.102383,1525628536.102383,-0.021507,-0.039263,-0.179615
130,130,1525628536.112268,1525628536.112268,0.028803,-0.117255,-0.237708
131,131,1525628536.122183,1525628536.122183,0.065165,-0.118478,-0.230702
132,132,1525628536.132255,1525628536.132255,0.106699,-0.092043,-0.15564
133,133,1525628536.142585,1525628536.142585,0.15270899999999998,-0.065635,-0.06360299999999999
134,134,1525628536.152168,1525628536.152168,0.167158,-0.063585,-0.016947999999999998
135,135,1525628536.162103,1525628536.162103,0.136,-0.05705,-0.035725
136,136,1525628536.1721199,1525628536.1721199,0.116274,-0.051617,-0.079122
137,137,1525628536.1821759,1525628536.1821759,0.121268,-0.078274,-0.101535
138,138,1525628536.1920722,1525628536.1920722,0.114057,-0.105966,-0.074839
139,139,1525628536.20229,1525628536.20229,0.096474,-0.09845,-0.030985
140,140,1525628536.212024,1525628536.212024,0.067139,-0.061039,0.005563
141,141,1525628536.222002,1525628536.222002,0.020717,0.011621,0.033806
142,142,1525628536.234418,1525628536.234418,-0.048131,0.05986,0.06551599999999999
143,143,1525628536.241852,1525628536.241852,-0.10829,0.096333,0.112021
144,144,1525628536.252203,1525628536.252203,-0.154471,0.08264400000000001,0.177511
145,145,1525628536.261926,1525628536.261926,-0.165527,0.041096,0.24150700000000005
146,146,1525628536.271977,1525628536.271977,-0.135899,0.051599,0.30607
147,147,1525628536.281971,1525628536.281971,-0.088012,0.064152,0.37999
148,148,1525628536.291856,1525628536.291856,-0.047587,0.01598,0.466772
149,149,1525628536.302084,1525628536.302084,-0.033257,-0.050184,0.517684
150,150,1525628536.311808,1525628536.311808,-0.054931,-0.049014,0.490275
151,151,1525628536.3218026,1525628536.3218026,-0.100875,-0.012536,0.390789
152,152,1525628536.332393,1525628536.332393,-0.135421,0.008981999999999999,0.26668200000000003
153,153,1525628536.342122,1525628536.342122,-0.137444,-0.008029000000000001,0.192201
154,154,1525628536.352249,1525628536.352249,-0.12801300000000002,-0.029381,0.182506
155,155,1525628536.361848,1525628536.361848,-0.12653499999999998,-0.036863,0.217611
156,156,1525628536.3719802,1525628536.3719802,-0.139925,-0.075196,0.264606
157,157,1525628536.3817651,1525628536.3817651,-0.14615799999999998,-0.143394,0.29235300000000003
158,158,1525628536.39199,1525628536.39199,-0.106638,-0.208584,0.308898
159,159,1525628536.401505,1525628536.401505,-0.063968,-0.315355,0.32966
160,160,1525628536.411689,1525628536.411689,-0.053384,-0.391076,0.338043
161,161,1525628536.421579,1525628536.421579,-0.052501,-0.407062,0.326324
162,162,1525628536.4316561,1525628536.4316561,-0.050953,-0.427299,0.282665
163,163,1525628536.441682,1525628536.441682,-0.0623,-0.421897,0.226393
164,164,1525628536.451525,1525628536.451525,-0.084136,-0.375952,0.176637
165,165,1525628536.4616392,1525628536.4616392,-0.125854,-0.341662,0.161183
