Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1525629538.33,0.025513,-0.057664,0.003944,0.012741,0.989532,0.097137,41.50322,59.390945,-360.952179
1525629538.36,0.01817,-0.059769,0.014677,0.019928,0.984589,0.099335,41.577347,59.16638199999999,-361.100739
1525629538.37,0.004302,-0.049051,0.012718,0.026459,0.983932,0.09108,41.500992,58.86615,-361.099304
1525629538.39,0.00852,-0.042672,0.007345,0.018494,0.992157,0.103607,41.577423,59.166504,-361.17572
1525629538.41,0.015795,-0.0363,-0.009774,0.010864,0.994843,0.108444,41.502914,59.241501,-361.326355
1525629538.43,0.01247,-0.023490999999999998,-0.022505,0.000183,1.002045,0.109161,41.276489,58.940704,-361.250397
1525629538.45,0.013427000000000001,-0.025623000000000003,-0.031031,0.004059,0.996964,0.108459,41.051254,58.939697,-361.026062
1525629538.47,0.01884,-0.00966,-0.027904,0.030457,0.986465,0.093338,41.276154,58.86570699999999,-361.249969
1525629538.49,0.017652,-0.037364,-0.032148,0.031021,0.986389,0.09082,41.200699,58.71582,-361.474426
1525629538.51,-0.001458,-0.04155,-0.023399,0.024643,0.991302,0.099808,41.275314,58.71546899999999,-361.099152
1525629538.55,0.008348999999999999,-0.017083,-0.011811,0.012619,0.997986,0.100372,41.502945,59.31605500000001,-361.026764
1525629538.57,0.002806,-0.017052,-0.028773000000000007,0.024506,0.994675,0.089478,41.352844,59.240936,-361.251801
1525629538.59,0.000609,-0.015974000000000002,-0.034067,0.024979,0.992218,0.094025,41.42659,59.015823,-361.02536
1525629538.61,-0.0048850000000000005,-0.038329,-0.042516000000000005,0.019699,0.98822,0.1008,41.502243,59.091492,-361.325531
1525629538.63,-0.002843,-0.048994,-0.047863,0.017792,0.991928,0.1017,41.501938,59.091049,-361.025543
1525629538.65,-0.0014960000000000002,-0.02023,-0.030849,0.021591,0.991272,0.103683,41.428619,59.465836,-361.027832
1525629538.67,0.007178,-0.001086,-0.023504,0.022995,0.997025,0.10231,41.501755,59.016266,-361.17511
1525629538.69,0.023076,-0.017138,-0.029019999999999997,0.023468,0.997925,0.100098,41.425583,58.790817,-361.024109
1525629538.71,0.026342,-0.006495,-0.025867,0.024399,0.994446,0.100082,41.650406,58.716721,-361.173035
1525629538.73,0.011502,-0.020291999999999998,-0.015041999999999996,0.019608,0.993332,0.091446,41.801834,59.017273,-361.249237
1525629538.77,-0.011334,-0.041498,-0.045630000000000004,0.022141,0.969513,0.090668,41.652496,59.16684,-361.250519
1525629538.81,0.036834,0.11604600000000001,-0.065373,0.003845,0.973175,0.107712,41.275574,58.790359,-361.024567
1525629538.83,0.009766,0.166273,-0.107615,0.025772000000000003,1.009491,0.083862,41.576828000000006,59.016602,-361.249908
1525629538.85,-0.05991000000000001,0.18576700000000002,-0.137628,0.028656,1.01329,0.07881200000000001,42.251984,59.01886,-361.397888
1525629538.87,-0.143373,0.202119,-0.160023,0.069412,1.026276,0.068146,42.403519,59.394089,-361.249512
1525629538.88,-0.117868,0.240387,-0.176299,0.07067899999999999,1.018127,0.113525,42.47728,59.168976,-361.023041
1525629538.89,-0.075325,0.229552,-0.185334,0.06546,1.011917,0.118393,42.777557,59.244751,-360.94754
1525629538.9,-0.089063,0.18803499999999998,-0.166009,0.06288099999999999,1.006729,0.082458,42.775818,58.795197,-361.245087
1525629538.92,-0.167126,0.228839,-0.10119199999999999,0.084076,0.98378,0.07743799999999999,43.002136,59.17031899999999,-360.87149
1525629538.94,0.00476,0.14603,-0.076688,0.111786,1.006973,0.139954,43.451462,59.021667,-360.869324
1525629538.96,-0.180749,0.301369,-0.095701,0.0495,1.01059,0.033249,43.378235,59.396561,-360.946564
1525629538.98,-0.336796,0.152698,0.174422,0.121521,1.044083,0.07347100000000001,43.302185,59.245758,-360.570984
1525629539.01,-0.608214,0.9028459999999999,0.772741,0.192123,0.971619,0.090912,42.927582,59.46875,-359.973358
1525629539.02,-0.295146,0.05209,0.719925,-0.011353,0.8989719999999999,0.168228,42.77626,59.24284399999999,-359.672546
1525629539.04,0.071005,-0.189066,0.259894,-0.08520499999999999,1.065292,0.25322,42.477951,59.616943000000006,-359.675507
1525629539.06,-0.103682,0.099576,-0.034917000000000004,-0.091354,0.935394,0.079376,42.252991,59.690826,-359.3765870000001
1525629539.08,-0.1727,0.328988,0.032989,-0.030624,0.956024,0.147568,42.178925,59.915497,-359.30304
1525629539.1,-0.068651,0.312498,0.167954,0.023636,1.035675,0.137253,42.252686,59.690369,-359.076569
1525629539.12,-0.06295,0.136625,0.146591,0.028931,0.975281,0.093079,42.028244,59.76504499999999,-359.302673
1525629539.14,-0.11021500000000001,0.044104000000000004,0.139716,-0.00705,0.978302,0.149612,42.027344,59.6147,-359.076843
