Time,gX,gY,gZ,aX,aY,aZ,mX,mY,mZ
1524423364.96,-0.02033,-0.010815,0.011573,-0.008362,-0.989807,-0.109634,198.860764,-93.278259,-62.213608
1524423364.98,0.017251,-0.008347,-0.00526,-0.002167,-0.995377,-0.112991,198.860748,-93.129044,-61.688599
1524423365.01,0.059087,-0.005837,-0.019923,-0.016586,-0.992569,-0.113861,199.010254,-93.354034,-61.990097
1524423365.03,0.039999,0.000343,-0.041426,-0.005737,-1.001022,-0.11644000000000003,199.161301,-93.054489,-61.99160799999999
1524423365.05,0.019773,0.003332,-0.053324,0.004471,-1.000931,-0.114883,198.935898,-93.129044,-61.83935500000001
1524423365.07,0.0060810000000000005,-0.015937,-0.054575,0.004227000000000001,-1.002899,-0.11293,199.235001,-93.429703,-61.992355
1524423365.11,0.02117,0.015004,-0.096047,-0.003845,-0.99881,-0.112762,198.784698,-93.578033,-62.212845
1524423365.13,0.037082,0.001354,-0.07032200000000001,-0.016495,-0.996246,-0.118973,198.560104,-93.352921,-61.835602
1524423365.15,0.0005690000000000001,-0.007476999999999998,-0.047091,-0.012253,-1.006714,-0.118698,198.859848,-93.428818,-61.838593
1524423365.17,-0.030598,-0.014133,-0.025951,-0.004044,-1.001251,-0.11496,199.384842,-93.430389,-61.843842
1524423365.19,-0.011745,-0.02136,0.019076,-0.006836,-0.995911,-0.110596,199.609665,-93.505936,-61.921097
1524423365.21,0.028918,-0.032663,0.027876,0.002808,-1.003143,-0.116608,199.235794,-93.204712,-61.992355
1524423365.23,0.019293,-0.038066,0.033131,0.004074,-1.008759,-0.11683699999999997,199.535141,-93.430389,-62.14534
1524423365.25,-0.025705,-0.035298,0.038168,-0.001785,-1.000015,-0.122009,199.236023,-93.204376,-62.217361
1524423365.27,-0.051436,-0.042972,0.051855,0.00351,-0.998993,-0.118301,199.085068,-93.429153,-62.065842
1524423365.29,-0.019428,-0.053287,0.069154,0.003845,-0.999725,-0.103683,198.560791,-93.202698,-61.985611
1524423365.31,0.03599,-0.026189,0.061112,-0.003159,-0.994156,-0.112747,198.636017,-93.202591,-62.211349
1524423365.33,0.041405,-0.018707,0.047279,0.005966,-0.994308,-0.123383,199.084778,-93.578812,-62.290848
1524423365.35,0.024683,-0.04333,0.034217000000000004,0.013336,-1.003052,-0.120148,198.635941,-93.202713,-62.136353
1524423365.37,0.029316,-0.050752,0.007478,0.000931,-1.002426,-0.124176,198.636276,-93.127594,-62.211349
1524423365.39,-0.007684000000000002,-0.053261,-0.031304000000000005,0.026962,-0.99411,-0.125122,198.861099,-93.203156,-62.288605
1524423365.41,0.0329,-0.064559,-0.015018,-0.053879,-1.013962,-0.098175,199.23584,-93.279251,-62.29235799999999
1524423365.43,0.251041,0.001333,0.02534,-0.010162,-0.951706,-0.0672,199.16153,-93.054153,-62.216614
